,,,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30,user31,user32,user33,user34,user35,user36,user37,user38,user39,user40,user41,user42,user43,user44,user45,user46,user47,user48,user49,user50,user51,user52,user53,user54
jumper,cargoPants,slipper,0,2,0,0,2,0,4,0,0,0,0,2,0,3,0,3,0,2,3,5,0,0,0,4,0,3,3,4,4,4,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5
jumper,cargoPants,sneakers,4,4,0,4,0,5,0,4,0,0,4,0,5,0,0,5,0,5,0,0,4,0,5,0,3,0,4,5,5,4,3,3,4,4,4,4,5,3,4,3,3,3,4,4,4,5,5,5,3,5,3,4,3,5
jumper,cargoPants,runningShoes,0,5,0,0,5,0,5,4,0,5,0,5,0,5,0,0,0,5,0,0,5,0,4,4,0,4,0,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,4,4,4,4,4,4,5,4,5,4,4,4
jumper,wideJeans,slipper,4,0,4,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,3,0,4,0,4,0,0,3,1,1,2,2,1,2,3,3,2,1,2,3,2,2,3,2,2,2,2,2,2,2,1,1,1,1
jumper,wideJeans,sneakers,0,4,0,0,4,0,0,0,0,4,0,4,0,0,4,0,3,3,0,3,4,0,4,3,0,4,0,4,2,3,2,3,2,2,2,4,4,2,2,2,2,4,3,2,2,4,2,3,2,2,4,4,4,3
jumper,wideJeans,runningShoes,4,0,0,4,0,4,0,4,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,4,0,2,3,3,2,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3
jumper,trousers,slipper,0,2,0,4,0,4,0,0,4,0,0,0,2,0,0,0,3,0,0,3,0,3,0,4,0,4,2,2,2,2,1,0,1,0,0,0,1,2,0,2,2,1,2,2,1,1,2,1,2,1,0,1,2,2
jumper,trousers,sneakers,0,4,0,0,4,0,3,0,0,0,4,0,4,0,0,4,0,4,0,0,0,0,5,3,0,4,0,3,1,1,3,1,2,2,3,1,2,1,1,2,2,2,1,3,2,2,2,2,1,1,3,2,1,3
jumper,trousers,runningShoes,0,4,0,3,4,0,5,0,5,0,0,5,0,4,0,0,0,5,0,0,0,4,0,0,5,3,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
sweater,cargoPants,slipper,1,0,2,0,0,1,0,0,3,0,0,3,0,3,0,0,3,0,2,0,2,0,0,0,3,3,0,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3,2,3
sweater,cargoPants,sneakers,0,4,0,0,4,0,4,0,3,0,3,0,2,0,0,0,0,0,2,0,3,0,0,4,0,4,4,2,2,0,1,2,1,2,0,0,2,2,1,2,2,2,1,2,0,0,0,2,2,1,0,1,0,1
sweater,cargoPants,runningShoes,0,2,0,2,0,0,2,0,2,0,0,0,0,4,0,4,0,0,2,0,2,0,3,0,3,3,0,0,1,0,0,2,2,1,0,1,0,2,2,2,1,1,0,1,0,2,0,2,1,0,2,2,2,2
sweater,wideJeans,slipper,0,1,2,0,2,0,0,2,0,2,0,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,0,2,0,1,0,0,1,0,2,2,0,0,2
sweater,wideJeans,sneakers,0,0,3,0,0,3,0,0,1,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,3,2,1,0,0,2,1,0,1,1,1,2,2,1,1,0,1,1,1,2,0,2,0,2,2,0,2,0,2,2
sweater,wideJeans,runningShoes,2,0,2,0,3,0,0,3,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,3,0,3,3,2,1,1,2,2,0,0,2,0,0,2,0,2,1,2,0,1,1,1,0,1,2,2,1,2,2,0
sweater,trousers,slipper,0,3,0,3,2,0,0,2,0,3,0,3,0,0,2,0,0,3,0,0,0,2,0,2,0,3,0,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,3,3,2,2,3
sweater,trousers,sneakers,4,0,5,0,0,0,4,0,0,0,0,4,5,0,0,0,5,0,0,0,4,0,0,0,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
sweater,trousers,runningShoes,5,0,0,3,0,0,3,0,4,3,0,0,3,0,0,3,4,0,0,0,3,0,0,0,4,0,0,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,3,2,3,2,3,3,3
dressShirt,cargoPants,slipper,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
dressShirt,cargoPants,sneakers,2,0,0,0,1,0,1,0,0,2,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1
dressShirt,cargoPants,runningShoes,3,3,0,3,0,0,2,0,0,0,3,0,0,2,0,0,0,3,0,0,3,0,2,3,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0
dressShirt,wideJeans,slipper,2,4,0,0,0,3,0,4,0,0,0,0,0,4,0,0,2,0,4,0,0,3,0,2,4,2,4,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
dressShirt,wideJeans,sneakers,0,4,0,0,0,2,0,0,4,2,0,2,0,0,0,0,0,3,0,0,0,3,0,4,0,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
dressShirt,wideJeans,runningShoes,4,0,3,0,4,0,3,4,0,0,3,3,0,0,0,4,0,0,0,4,0,3,4,3,3,3,3,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
dressShirt,trousers,slipper,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,2,0,2,0,0,1,0,0,2,0,3,2,4,2,2,2,2,2,4,4,2,2,3,2,3,4,3,4,2,4,3,2,4,4,4,4,2,2,2
dressShirt,trousers,sneakers,2,0,0,2,0,3,0,2,0,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
dressShirt,trousers,runningShoes,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,3,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,3,2,2,3,1,3,2,2,3,3,3