,,,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30,user31,user32,user33,user34,user35,user36,user37,user38,user39,user40,user41,user42,user43,user44,user45,user46,user47,user48,user49,user50,user51,user52,user53,user54
AnemosSuspenders,SouthernSeasSkirt,CollegiateShoes,0,2,0,0,2,0,4,0,0,0,0,2,0,3,0,3,0,2,3,5,0,0,0,4,0,3,3,4,4,4,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5
AnemosSuspenders,SouthernSeasSkirt,CalfskinRider'sShoes,4,4,0,4,0,5,0,4,0,0,4,0,5,0,0,5,0,5,0,0,4,0,5,0,3,0,4,5,5,4,3,3,4,4,4,4,5,3,4,3,3,3,4,4,4,5,5,5,3,5,3,4,3,5
AnemosSuspenders,SouthernSeasSkirt,CrescentMoonSlippers,0,5,0,0,5,0,5,4,0,5,0,5,0,5,0,0,0,5,0,0,5,0,4,4,0,4,0,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,4,4,4,4,4,4,5,4,5,4,4,4
AnemosSuspenders,CalfskinRider'sBottoms,CollegiateShoes,4,0,4,0,0,4,0,0,4,0,0,0,4,0,0,0,0,4,0,0,3,0,4,0,4,0,0,3,1,1,2,2,1,2,3,3,2,1,2,3,2,2,3,2,2,2,2,2,2,2,1,1,1,1
AnemosSuspenders,CalfskinRider'sBottoms,CalfskinRider'sShoes,0,4,0,0,4,0,0,0,0,4,0,4,0,0,4,0,3,3,0,3,4,0,4,3,0,4,0,4,2,3,2,3,2,2,2,4,4,2,2,2,2,4,3,2,2,4,2,3,2,2,4,4,4,3
AnemosSuspenders,CalfskinRider'sBottoms,CrescentMoonSlippers,4,0,0,4,0,4,0,4,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,4,0,2,3,3,2,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3
AnemosSuspenders,CasualHalfslops,CollegiateShoes,0,2,0,4,0,4,0,0,4,0,0,0,2,0,0,0,3,0,0,3,0,3,0,4,0,4,2,2,2,2,1,0,1,0,0,0,1,2,0,2,2,1,2,2,1,1,2,1,2,1,0,1,2,2
AnemosSuspenders,CasualHalfslops,CalfskinRider'sShoes,0,4,0,0,4,0,3,0,0,0,4,0,4,0,0,4,0,4,0,0,0,0,5,3,0,4,0,3,1,1,3,1,2,2,3,1,2,1,1,2,2,2,1,3,2,2,2,2,1,1,3,2,1,3
AnemosSuspenders,CasualHalfslops,CrescentMoonSlippers,0,4,0,3,4,0,5,0,5,0,0,5,0,4,0,0,0,5,0,0,0,4,0,0,5,3,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
CasualJacket,SouthernSeasSkirt,CollegiateShoes,1,0,2,0,0,1,0,0,3,0,0,3,0,3,0,0,3,0,2,0,2,0,0,0,3,3,0,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3,2,3
CasualJacket,SouthernSeasSkirt,CalfskinRider'sShoes,0,4,0,0,4,0,4,0,3,0,3,0,2,0,0,0,0,0,2,0,3,0,0,4,0,4,4,2,2,0,1,2,1,2,0,0,2,2,1,2,2,2,1,2,0,0,0,2,2,1,0,1,0,1
CasualJacket,SouthernSeasSkirt,CrescentMoonSlippers,0,2,0,2,0,0,2,0,2,0,0,0,0,4,0,4,0,0,2,0,2,0,3,0,3,3,0,0,1,0,0,2,2,1,0,1,0,2,2,2,1,1,0,1,0,2,0,2,1,0,2,2,2,2
CasualJacket,CalfskinRider'sBottoms,CollegiateShoes,0,1,2,0,2,0,0,2,0,2,0,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,0,2,0,1,0,0,1,0,2,2,0,0,2
CasualJacket,CalfskinRider'sBottoms,CalfskinRider'sShoes,0,0,3,0,0,3,0,0,1,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,3,2,1,0,0,2,1,0,1,1,1,2,2,1,1,0,1,1,1,2,0,2,0,2,2,0,2,0,2,2
CasualJacket,CalfskinRider'sBottoms,CrescentMoonSlippers,2,0,2,0,3,0,0,3,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,3,0,3,3,2,1,1,2,2,0,0,2,0,0,2,0,2,1,2,0,1,1,1,0,1,2,2,1,2,2,0
CasualJacket,CasualHalfslops,CollegiateShoes,0,3,0,3,2,0,0,2,0,3,0,3,0,0,2,0,0,3,0,0,0,2,0,2,0,3,0,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,3,3,2,2,3
CasualJacket,CasualHalfslops,CalfskinRider'sShoes,4,0,5,0,0,0,4,0,0,0,0,4,5,0,0,0,5,0,0,0,4,0,0,0,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CasualJacket,CasualHalfslops,CrescentMoonSlippers,5,0,0,3,0,0,3,0,4,3,0,0,3,0,0,3,4,0,0,0,3,0,0,0,4,0,0,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,3,2,3,2,3,3,3
Raincoat,SouthernSeasSkirt,CollegiateShoes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
Raincoat,SouthernSeasSkirt,CalfskinRider'sShoes,2,0,0,0,1,0,1,0,0,2,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1
Raincoat,SouthernSeasSkirt,CrescentMoonSlippers,3,3,0,3,0,0,2,0,0,0,3,0,0,2,0,0,0,3,0,0,3,0,2,3,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0
Raincoat,CalfskinRider'sBottoms,CollegiateShoes,2,4,0,0,0,3,0,4,0,0,0,0,0,4,0,0,2,0,4,0,0,3,0,2,4,2,4,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Raincoat,CalfskinRider'sBottoms,CalfskinRider'sShoes,0,4,0,0,0,2,0,0,4,2,0,2,0,0,0,0,0,3,0,0,0,3,0,4,0,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
Raincoat,CalfskinRider'sBottoms,CrescentMoonSlippers,4,0,3,0,4,0,3,4,0,0,3,3,0,0,0,4,0,0,0,4,0,3,4,3,3,3,3,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
Raincoat,CasualHalfslops,CollegiateShoes,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,2,0,2,0,0,1,0,0,2,0,3,2,4,2,2,2,2,2,4,4,2,2,3,2,3,4,3,4,2,4,3,2,4,4,4,4,2,2,2
Raincoat,CasualHalfslops,CalfskinRider'sShoes,2,0,0,2,0,3,0,2,0,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Raincoat,CasualHalfslops,CrescentMoonSlippers,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,3,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,3,2,2,3,1,3,2,2,3,3,3